A restaurant
A car
A house
A school
Fruit
A hotel
A supermarket
A dog
A sports team
Church
A swimming pool
A gym
University
A computer
A desk
An aeroplane
A river
A lake
A mountain
The outdoors
The city
The countryside
A train
An area
A book
A business
A case
A company
A country
A day
An eye
A fact
A family
A government
A group
A hand
A home
A job
A life
A lot
A man
Money
A month
A mother
A night
A number
A part
People
A place
A point
A problem
A program
A question
A right
A room
A school
A state
A story
A student
A study
A system
A time
Water
A way
A week
A woman
A word
Work
A world
A year
